country_code,year,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
IND,2010,-2.165524115740847,0.7825642216747374,1.7795718903901039,-0.25532193076219867,0.6955842635660668,-0.9110409201241352,0.6661833491586963,-0.5049004111197771,0.009169429402130749
IND,2011,-1.8376581171943962,0.6638132335582252,2.0201429665893333,-0.1968865445998466,0.01276258492307309,-1.1150305651426822,0.7790723214187103,-0.533712886376301,0.04373065428706281
IND,2012,-1.7223655938371105,0.6965090862110566,2.031033147501294,-0.1283111744832618,0.08576498235938457,-1.1206513705222418,0.7807687221320817,-0.5611232603640708,-0.030918759350260883
IND,2013,-1.739014420883077,0.7826480516820706,1.920545757205862,-0.1672080891677321,0.30853663154143285,-1.092558206763933,0.7666551285902491,-0.563033390852137,-0.06401875557771071
IND,2014,-1.7689364422700997,1.0106081703492777,1.6633756557689552,-0.3417000258448631,0.5370384290227257,-1.0800597824249583,0.7949253206156551,-0.5370646906476971,-0.04285040912192828
IND,2015,-1.8066557344321086,1.1864929264501443,1.2698338888471323,-0.23591830056035365,0.752202158212692,-1.0456325629698762,0.7787911888613824,-0.5111626516996635,-0.07846732039398047
IND,2016,-1.7905684639996002,1.2416431968488097,1.1614301280747568,-0.18320992896305088,0.8398759578416551,-1.081969207373303,0.7735496934309464,-0.4735036557715613,-0.18772972322162007
IND,2017,-1.6594090698889683,1.29506813487991,1.1636254310387115,-0.10093420157265444,0.5615788422627569,-1.2206579974387077,0.7694861458649007,-0.45720418650728556,-0.22422804957626746
IND,2018,-1.4955195760254276,1.263481909088402,1.321372803984913,-0.029923737559825313,0.5143262710909434,-1.2521434715564743,0.7243475428659593,-0.4904478901515723,-0.27446118262147445
IND,2019,-1.480943658103774,1.3687868455958319,0.9710390515463069,0.09850903718201845,0.0919273196662958,-1.4075951420061599,0.7472054188296215,-0.5002194500652978,-0.22538851110725086
IND,2020,-1.2846281139694558,1.3188239768851062,0.32882767374262695,0.660996884112714,-2.133330691513077,-1.9922147145255857,0.7533309162555363,-0.7972316134272843,0.13175281698101574
ITA,1960,-1.0435148590514505,-0.3217083477600708,-0.4083928921441648,0.007480004549692153,1.2671011381595043,-0.3727294839209268,-0.4411911976840492,-0.039507985103709196,0.6797653573366217
ITA,1961,-0.9570240817424285,-0.32420997733358037,-0.435896850540764,-0.006115521729850286,1.2873381718703167,-0.39474441554529266,-0.41038834510700234,-0.06583915027406853,0.6715235424551547
ITA,1962,-0.9132576354101782,-0.35368229778221144,-0.5255112715022429,0.06105724404968058,0.8827390406998292,-0.43064863571357404,-0.46378749668994973,-0.1147097540488859,0.6879628804569234
ITA,1963,-0.8491126005009116,-0.3638913418266034,-0.5698774813820586,0.07013676458680566,0.770482551033584,-0.4431884318460723,-0.46678940603190033,-0.1460358563399796,0.6834145871401867
