country_code,year,SP.URB.TOTL.IN.ZS,SP.RUR.TOTL.ZS,SP.DYN.LE00.MA.IN,SP.DYN.LE00.IN,NY.GDP.MKTP.CD,NE.IMP.GNFS.ZS,NE.EXP.GNFS.ZS,NY.GDP.MKTP.KD.ZG,SH.DYN.MORT,EG.USE.PCAP.KG.OE,EN.ATM.GHGT.KT.CE,NV.AGR.TOTL.ZS,FS.AST.PRVT.GD.ZS,SE.TER.ENRR,GC.TAX.TOTL.GD.ZS
ARG,2017,91.749,8.251,72.924,76.372,643628665302.155,13.9693177780045,11.3202833596733,2.81850297775918,10.3,,367320.0,5.23162237725058,15.9584973420583,89.9585189819336,10.939623860491
ARG,2018,91.87,8.13,73.082,76.52,517626700412.885,16.5551102873443,14.6198312492533,-2.56535188247548,9.8,,365650.0,5.29647212437895,,,10.1312463031035
ARG,2019,91.991,8.009,73.242,76.667,445445177459.453,15.1879398225576,17.4397039105268,-2.08801486066213,9.3,,,6.088397130802,,,10.6493246735121
ARG,2020,92.111,7.889,,,383066977653.56,13.8865054056974,16.6137220454622,-9.90523485573888,,,,6.83608019121494,,,
AUS,1960,81.529,18.471,67.7857142857143,70.8170731707317,18577668271.9229,14.0583554376658,12.9913190258018,,24.8,3063.55427059293,,,19.1451651796479,,
AUS,1961,81.941,18.059,67.9,70.9731707317073,19652816664.8001,15.0216548894461,12.4002735354456,2.48576949187947,24.3,3115.78708385004,,,17.6555732847048,,
AUS,1962,82.228,17.772,67.84,70.9424390243903,19892485160.7123,12.6280824231505,13.939871636077,1.29608735213831,23.7,3172.97486501583,,,18.6746987951807,,
AUS,1963,82.511,17.489,67.78,70.9117073170732,21507447642.5132,13.8304519891689,13.0024994792752,6.21463039549282,23.2,3284.05095890411,,,19.3116017496355,,
AUS,1964,82.792,17.208,67.72,70.8809756097561,23764139321.3126,13.7612517083746,14.9347283095339,6.97852215948878,22.7,3349.41416674129,,,20.1418539987747,,
AUS,1965,83.068,16.932,67.66,70.850243902439,25936835031.9185,15.2640442160715,13.2173237186407,5.98350598919795,22.4,3463.21557780119,,,21.157649294011,,
AUS,1966,83.34,16.66,67.6,70.819512195122,27268451114.3465,15.126499096435,12.9291933629046,2.38245842259472,22.1,3546.53797957257,,,22.4121077706588,,
AUS,1967,83.507,16.493,67.64,70.8692682926829,30397580916.116,13.8899123130204,12.8804067496868,6.30262019041623,22.0,3692.80794982626,,,23.1290988136467,,
AUS,1968,83.672,16.328,67.68,70.9190243902439,32665472057.3412,14.4821202043405,12.2947166318099,5.09581380047702,21.9,3763.55841452244,,,24.0319539205266,,
AUS,1969,83.836,16.164,67.72,70.9687804878049,36628961809.8331,13.3308872989666,11.9519354246927,7.04432932141759,21.7,3792.93476310854,,,24.8581300067266,,
AUS,1970,83.999,16.001,67.76,71.0185365853659,41271138985.3287,13.2180944886163,12.9738677376462,7.17218657627514,21.5,4063.41136963301,319036.599,,23.3117147431549,15.8165502548218,
