country_code,year,SP.URB.TOTL.IN.ZS,SP.RUR.TOTL.ZS,SP.DYN.LE00.MA.IN,SP.DYN.LE00.IN,NY.GDP.MKTP.CD,NE.IMP.GNFS.ZS,NE.EXP.GNFS.ZS,NY.GDP.MKTP.KD.ZG,SH.DYN.MORT,EG.USE.PCAP.KG.OE,EN.ATM.GHGT.KT.CE,NV.AGR.TOTL.ZS,FS.AST.PRVT.GD.ZS,SE.TER.ENRR,GC.TAX.TOTL.GD.ZS,GC.XPN.TOTL.GD.ZS,IT.CEL.SETS.P2,SL.TLF.TOTL.FE.ZS,SL.UEM.TOTL.MA.ZS,IT.NET.USER.ZS,EG.FEC.RNEW.ZS,EG.ELC.ACCS.ZS,DT.ODA.ODAT.CD,DT.ODA.ODAT.GN.ZS,SE.XPD.TOTL.GD.ZS,SG.GEN.PARL.ZS,DT.DOD.DECT.CD,DT.DOD.DECT.GN.ZS,GB.XPD.RSDV.GD.ZS,SI.POV.GINI
KOR,1962,29.461,70.539,52.685,56.5123170731707,2814318516.60968,15.5961296670858,3.87306620018586,3.89527253075299,101.7,516.110749286312,88641.352,36.6342316733177,12.7152462690647,6.77976989746094,11.1535487499121,15.4884363943108,0.017181584,39.5718903108898,2.68,0.023265092,1.63194686718062,99.8828430175781,236210006.713867,8.2981172187,3.41404008865356,3.01003344481605,,,2.26089,31.7
KOR,1963,30.407,69.593,53.175,56.9706097560976,3988784572.24835,14.6546071662745,3.94569367840475,9.02056828279763,96.8,516.110749286312,88641.352,43.1037142746943,10.5449917074864,6.77976989746094,11.1535487499121,15.4884363943108,0.017181584,39.5718903108898,2.68,0.023265092,1.63194686718062,99.8828430175781,262200012.207031,6.51475898528467,3.41404008865356,3.01003344481605,,,2.26089,31.7
KOR,1964,31.372,68.628,53.678,57.4409268292683,3458939357.73377,12.3796776984642,4.96295695435864,9.47382471805444,92.0,516.110749286312,88641.352,46.5268764871296,8.82814189919965,6.77976989746094,11.1535487499121,15.4884363943108,0.017181584,39.5718903108898,2.68,0.023265092,1.63194686718062,99.8828430175781,171690002.441406,4.91101016480313,3.41404008865356,3.01003344481605,,,2.26089,31.7
KOR,1965,32.351,67.649,54.24,57.9682926829268,3120833333.33333,14.3302180685358,7.12902488603423,7.31843358022128,87.0,516.110749286312,88641.352,37.5299197729104,10.2334644390719,6.77976989746094,11.1535487499121,15.4884363943108,0.017181584,39.5718903108898,2.68,0.023265092,1.63194686718062,99.8828430175781,220490005.493164,6.96697158858722,3.41404008865356,3.01003344481605,,,2.26089,31.7
KOR,1966,33.347,66.653,54.882,58.5751707317073,3928908380.62947,18.2173778457325,8.44222236813718,11.9939566084487,81.8,516.110749286312,88641.352,34.395489977206,11.1446715506486,6.77976989746094,11.1535487499121,15.4884363943108,0.017181584,39.5718903108898,2.68,0.023265092,1.63194686718062,99.8828430175781,230630004.882813,5.7463724747849,3.41404008865356,3.01003344481605,,,2.26089,31.7
KOR,1967,34.971,65.029,55.58,59.2414634146341,4855907141.80098,19.6792070766279,9.1129854904767,9.0796065539801,76.5,516.110749286312,88641.352,30.2081271600615,16.8206939602016,6.77976989746094,11.1535487499121,15.4884363943108,0.017181584,39.5718903108898,2.68,0.023265092,1.63194686718062,99.8828430175781,259089996.337891,5.17705384752454,3.41404008865356,3.01003344481605,,,2.26089,31.7
KOR,1968,36.846,63.154,56.309,59.9446097560976,6119284294.23459,22.635123161439,10.1423592651663,13.1657682900767,71.1,516.110749286312,88641.352,28.1593714927048,25.5029830468427,6.77976989746094,11.1535487499121,15.4884363943108,0.017181584,39.5718903108898,2.68,0.023265092,1.63194686718062,99.8828430175781,239630004.882813,3.81070207860285,3.41404008865356,3.01003344481605,,,2.26089,31.7
KOR,1969,38.756,61.244,57.056,60.6750243902439,7678581343.69794,22.4503538727143,10.6103061473521,14.5613666963927,66.0,516.110749286312,88641.352,27.4095432646679,31.9194996068081,6.77976989746094,11.1535487499121,15.4884363943108,0.017181584,39.5718903108898,2.68,0.023265092,1.63194686718062,99.8828430175781,338299987.792969,4.29481300201875,3.41404008865356,3.01003344481605,,,2.26089,31.7
KOR,1970,40.704,59.296,58.7,62.1634146341463,9005023183.92581,21.122076807552,11.4388900808124,10.0527348072623,61.2,516.110749286312,88641.352,26.4857326753915,32.8742043910463,6.77976989746094,11.1535487499121,15.4884363943108,0.017181584,39.5718903108898,2.68,0.023265092,1.63194686718062,99.8828430175781,274670013.427734,2.99576874938951,3.41404008865356,3.01003344481605,,,2.26089,31.7
KOR,1971,42.261,57.739,59.1,62.6121951219512,9903499927.98502,23.0133798720186,12.6759744037231,10.5455135521971,57.0,516.110749286312,89248.78,27.1378708551483,34.9377545084351,6.77976989746094,11.1535487499121,15.4884363943108,0.017181584,39.5718903108898,2.68,0.023265092,1.63194686718062,99.8828430175781,324510009.765625,3.25184452530487,3.73918008804321,3.01003344481605,,,2.26089,31.7
